109;"BRASIL, SOM E IMAGEM";"0169";2010;
110;"PRODUCAO E DIFUSAO CULTURAL";"0170";2010;
111;"MUSEU MEMÓRIA E CIDADANIA";"0171";2010;
112;"CULTURA AFRO-BRASILEIRA";"0172";2010;
113;"GESTÃO DA POLÍTICA DE CULTURA";"0173";2010;
114;"ESPORTE SOLIDARIO";"0180";2010;
115;"BRASIL NO ESPORTE DE ALTO RENDIMENTO - BRASIL CAMPEÃO";"0181";2010;
116;"ESPORTE DIREITO DE TODOS";"0182";2010;
117;"MANUTENCAO DA MALHA RODOVIARIA FEDERAL";"0220";2010;
118;"SERVICOS DE TRANSPORTE AQUAVIARIO";"0221";2010;
119;"TRILHOS URBANOS";"0222";2010;
120;"MANUTENCAO DE HIDROVIAS";"0223";2010;
121;"EXPLORACAO DA INFRA-ESTRUTURA DE TRANSPORTE RODOVIARIO E FER";"0224";2010;
122;"GESTÃO DA POLÍTICA DOS TRANSPORTES";"0225";2010;
123;"SERVICOS DE TRANSPORTE FERROVIARIO";"0226";2010;
124;"SERVICOS DE TRANSPORTE RODOVIARIO";"0227";2010;
125;"NAVEGACAO INTERIOR";"0228";2010;
126;"CORREDOR SAO FRANCISCO";"0229";2010;
127;"CORREDOR LESTE";"0230";2010;
128;"CORREDOR TRANSMETROPOLITANO";"0231";2010;
129;"CORREDOR SUDOESTE";"0232";2010;
130;"CORREDOR MERCOSUL";"0233";2010;
131;"MANUTENCAO DE RODOVIAS EM REGIME DE GESTAO TERCEIRIZADA";"0234";2010;
132;"CORREDOR NORDESTE";"0235";2010;
133;"CORREDOR OESTE-NORTE";"0236";2010;
134;"CORREDOR ARAGUAIA-TOCANTINS";"0237";2010;
135;"CORREDOR FRONTEIRA NORTE";"0238";2010;
136;"QUALIDADE DOS SERVICOS DE TELECOMUNICACOES";"0250";2010;
137;"SERVICOS PRIVADOS DE TELECOMUNICACOES";"0251";2010;
138;"CAPTACAO E DIFUSAO DE NOTICIAS";"0252";2010;
139;"SERVICOS DE COMUNICACAO DE MASSA";"0253";2010;
140;"TELEFONIA FIXA";"0254";2010;
141;"UNIVERSALIZACAO DO ACESSO AOS SERVICOS DE COMUNICACAO ELETRO";"0255";2010;
142;"APRIMORAMENTO DOS SERVIÇOS POSTAIS";"0256";2010;
143;"UNIVERSALIZAÇÃO DOS SERVIÇOS DE TELECOMUNICAÇÕES";"0257";2010;
144;"PRODUCAO DE COMPONENTES E INSUMOS PARA A INDUSTRIA NUCLEAR E";"0270";2010;
145;"QUALIDADE DOS SERVIÇOS DE ABASTECIMENTO DE PETRÓLEO, SEUS DE";"0271";2010;
146;"QUALIDADE DO SERVIÇO DE ENERGIA ELÉTRICA";"0272";2010;
147;"LUZ PARA TODOS";"0273";2010;
148;"ABASTECIMENTO DE ENERGIA ELETRICA";"0274";2010;
149;"QUALIDADE DOS DERIVADOS DO PETROLEO, GAS NATURAL E ALCOOL CO";"0275";2010;
150;"GESTÃO DA POLÍTICA DE ENERGIA";"0276";2010;
151;"DISTRIBUICAO DE ENERGIA ELETRICA";"0277";2010;
152;"GERACAO DE ENERGIA HIDRELETRICA";"0278";2010;
153;"GERACAO DE ENERGIA NUCLEAR";"0279";2010;
154;"GERACAO DE ENERGIA TERMELETRICA";"0280";2010;
155;"TRANSMISSAO DE ENERGIA ELETRICA";"0281";2010;
156;"ATUAÇÃO INTERNACIONAL NA ÁREA DE PETRÓLEO";"0282";2010;
157;"DISTRIBUIÇÃO DE DERIVADOS DE PETRÓLEO, GÁS NATURAL, ÁLCOOL E";"0283";2010;
158;"GERACAO TERMELETRICA A PARTIR DE RESIDUOS DE REFINO E GAS NA";"0284";2010;
159;"INDÚSTRIA PETROQUÍMICA";"0285";2010;
160;"OFERTA DE PETRÓLEO E GÁS NATURAL";"0286";2010;
161;"RACIONALIZACAO DO USO DE DERIVADOS DE PETROLEO E DO GAS NATU";"0287";2010;
162;"REFINO DE PETRÓLEO";"0288";2010;
163;"TRANSPORTE DUTOVIARIO DE PETROLEO E DERIVADOS";"0289";2010;
164;"TRANSPORTE DE PETRÓLEO, DERIVADOS, GÁS NATURAL E BIOCOMBUSTÍ";"0290";2010;
165;"ENERGIA NO EIXO ARCO NORTE";"0291";2010;
166;"ENERGIA NOS EIXOS DO CENTRO-OESTE";"0292";2010;
167;"ENERGIA NO EIXO SAO FRANCISCO";"0293";2010;
168;"ENERGIA NA REGIÃO NORDESTE";"0294";2010;
169;"ENERGIA NA REGIÃO SUL";"0295";2010;
170;"ENERGIA NAS REGIÕES SUDESTE E CENTRO-OESTE";"0296";2010;
171;"ENERGIA NA REGIÃO NORTE";"0297";2010;
172;"INTEGRACAO ELETRICA NORTE-SUL";"0298";2010;
173;"ENERGIA NOS EIXOS DO NORDESTE";"0300";2010;
174;"COMBATE AO DESPERDICIO DE ENERGIA ELETRICA - PROCEL";"0301";2010;
175;"GESTÃO DA POLÍTICA DE DESENVOLVIMENTO URBANO";"0310";2010;
176;"GESTAO URBANA E METROPOLITANA";"0311";2010;
177;"REESTRUTURACAO DE REGIOES METROPOLITANAS";"0312";2010;
178;"DESENVOLVIMENTO DA ECONOMIA CAFEEIRA";"0350";2010;
179;"AGRICULTURA FAMILIAR - PRONAF";"0351";2010;
180;"ABASTECIMENTO AGROALIMENTAR";"0352";2010;
