105;49;5;30/03/2011;30/08/2011;30/11/2010;30/11/2010;;30/05/2012;"2";TRUE;FALSE;FALSE;
106;49;1;30/12/2011;30/11/2013;31/08/2012;;28/04/2014;28/02/2014;"3";TRUE;FALSE;FALSE;
107;50;3;30/12/2009;30/01/2010;;30/12/2009;30/05/2011;30/05/2011;"1";TRUE;FALSE;FALSE;
108;50;1;30/03/2010;30/12/2012;30/08/2010;30/08/2010;28/05/2013;30/04/2013;"2";TRUE;FALSE;FALSE;
109;50;6;30/08/2010;28/05/2013;;30/08/2010;28/05/2013;;"3";TRUE;FALSE;FALSE;
110;51;4;30/01/2009;30/07/2010;;30/01/2009;30/07/2012;30/06/2012;"3";TRUE;FALSE;FALSE;
111;51;2;30/05/2010;30/10/2011;;30/05/2010;;31/12/2013;"1";TRUE;FALSE;FALSE;
112;51;1;30/07/2010;30/09/2012;30/06/2010;30/06/2010;;30/04/2014;"2";TRUE;FALSE;FALSE;
113;138;4;30/05/2010;30/10/2010;30/05/2010;30/05/2010;30/06/2013;30/06/2013;"1";TRUE;FALSE;FALSE;
114;138;2;28/02/2011;30/01/2012;30/01/2013;;31/05/2013;31/05/2013;"2";TRUE;FALSE;FALSE;
115;138;1;30/03/2011;30/10/2012;30/04/2012;30/04/2012;;31/05/2014;"3";TRUE;FALSE;FALSE;
116;139;4;30/05/2009;30/07/2010;30/05/2009;30/05/2009;30/09/2011;30/09/2011;"1";TRUE;FALSE;FALSE;
117;139;1;30/12/2010;30/06/2012;30/04/2012;30/03/2012;;31/12/2013;"2";TRUE;FALSE;FALSE;
118;140;1;30/10/2010;30/03/2012;30/11/2010;30/11/2010;;28/02/2014;"2";TRUE;FALSE;FALSE;
119;141;3;30/09/2008;30/01/2009;;30/09/2008;30/01/2010;30/01/2010;"1";TRUE;FALSE;FALSE;
120;141;1;30/03/2010;31/12/2012;30/06/2010;30/06/2010;29/03/2013;28/02/2013;"2";TRUE;FALSE;FALSE;
121;141;6;30/06/2010;30/06/2010;;30/06/2010;29/03/2013;;"3";TRUE;FALSE;FALSE;
122;142;4;30/05/2009;30/01/2010;;30/05/2009;30/09/2010;30/09/2010;"1";TRUE;FALSE;FALSE;
123;142;2;30/05/2010;30/10/2010;30/09/2011;30/09/2011;;31/12/2013;"2";TRUE;FALSE;FALSE;
124;142;1;30/06/2010;30/09/2011;30/09/2011;30/09/2011;;30/03/2014;"3";TRUE;FALSE;FALSE;
128;144;4;30/05/2010;30/10/2010;;30/05/2010;31/07/2012;30/05/2012;"1";TRUE;FALSE;FALSE;
129;144;1;30/03/2011;30/09/2011;30/09/2011;30/09/2011;;30/04/2014;"2";TRUE;FALSE;FALSE;
130;146;4;30/04/2008;30/10/2010;;30/04/2008;30/06/2011;30/06/2011;"1";TRUE;FALSE;FALSE;
131;146;1;30/06/2010;30/09/2012;;30/06/2010;30/06/2013;30/06/2013;"2";TRUE;FALSE;FALSE;
134;150;3;30/05/2011;28/02/2012;;30/05/2011;;28/02/2013;"1";TRUE;FALSE;FALSE;
135;150;1;30/11/2010;30/11/2011;31/12/2012;28/02/2013;;30/05/2014;"2";TRUE;FALSE;FALSE;
136;151;3;30/01/2010;30/06/2010;;30/01/2010;31/05/2011;31/05/2011;"1";TRUE;FALSE;FALSE;
137;151;1;30/07/2010;30/12/2011;30/05/2011;30/05/2011;;28/02/2014;"3";TRUE;FALSE;FALSE;
138;152;3;30/09/2011;30/12/2011;30/06/2012;;;31/12/2013;"1";TRUE;FALSE;FALSE;
