118;2;2;2;FALSE;"015/2012";"Licença para instalação do Estádio Nacional de Brasília  - Estádio Mané Garrincha";16/04/2012;15/04/2015;4;;;TRUE;;;FALSE;
119;2;2;3;FALSE;"103/2010";"Alvará de Construção nº 103/2010 do Estádio Nacional de Brasília";18/10/2010;;4;;;TRUE;;;FALSE;
122;153;2;1;FALSE;"300918/2011";"Licença Prévia para Construção da Ponte sobre o Rio Pari";06/09/2011;05/09/2014;4;;;TRUE;223;;FALSE;
123;153;2;2;FALSE;"60069/2011";"Licença para Construção da Ponte sobre o Rio Pari";16/11/2011;15/11/2014;4;;;TRUE;223;;FALSE;
124;153;2;1;FALSE;"300520/2011";"Licença Prévia para Construção - Trincheira Mario Andreazza";03/06/2011;02/06/2014;4;;;TRUE;223;;FALSE;
125;153;2;2;FALSE;"59433/2011";"Licença de Instalação - Trincheira Mario Andreazza";03/06/2011;02/06/2014;4;;;TRUE;223;;FALSE;
126;396;2;2;FALSE;"2138";"Licença Ambiental de Instalação";17/10/2012;17/10/2018;4;;;TRUE;;;FALSE;
131;160;2;2;FALSE;"37191";"Autorização Ambiental para obras de arte";22/05/2013;22/05/2014;4;22/04/2013;"solicitado renovação da autorização ambiental anterior";TRUE;;;FALSE;
132;469;2;2;FALSE;"14113";"Licença de instalação da obra";18/04/2012;18/05/2014;4;;;TRUE;;;FALSE;
133;162;2;1;FALSE;"37190";"Autorização Ambiental para obra de arte";22/05/2013;22/05/2014;4;22/04/2013;;TRUE;;;FALSE;
136;46;2;2;FALSE;"01.11.10.005619-1";"Obras Diversas - Reforma com acréscimo do Terminal de Passageiros, Armazém 07, com construção da Sala Pernambuco, Situada na Zona Prima´ria do Porto do Recife";14/10/2011;13/10/2013;4;;;TRUE;;;FALSE;
137;208;2;2;FALSE;"08.12.02.000807-8";"Execução de serviços de implantação das 2ª e 3ª etapas da Via Mangue, com extensão de 4,5 km, iniciando-se na Ponte Paulo Guerra no bairro do Pina e finalizando-se na Av. Antônio Falcão no bairro de Boa Viagem, município de Recife.";29/02/2012;28/02/2014;4;;"Prorrogação da Licença de Instalação para execução de serviço de instalação da 2ª e 3ª etapas da Via Mangue, com extensão de 4,5 km, iniciando-se na Ponte paulo Guerra no bairro do Pina e finalizando-se na Av. Antônio Falcão no bairro de Boa Viagem, município de Recife.";TRUE;405;;FALSE;
138;208;2;3;FALSE;"03.12.05.002081-6";"Funcionamento do canteiro de obras da Via Mangue (2[ e 3ª etapas), localizado no Pina, Recife - PE. Os esgotos sanitários são conduzidos para a rede pública operada pela COMPESA.";25/05/2012;22/05/2013;4;;;TRUE;405;;FALSE;
139;208;2;3;FALSE;"03.12.09.003700-3";"Canteiro de obras viárias para a execução da Via Mangue, localizado no Complexo Viário da Antônio Falcão, bairro de Boa Viagem, Recife/PE. Os esgotos sanitários são conduzidos para um sistema de tanque séptico e valas de infiltração.";11/09/2012;11/09/2013;4;;;TRUE;405;;FALSE;
140;208;2;3;FALSE;"03.12.09.003751-5";"Canteiro de obras viárias para a execução das 2ª e 3ª etapas da Via Mangue, localizado na Av. República do Líbano, Pina, Recife - PE.";13/09/2012;13/09/2013;4;;;TRUE;405;;FALSE;
141;208;2;3;FALSE;"03.12.09.003896-3";"Funcionamento do canteiro de obras viárias para execução das 2[ e 3ª etapas da Via Mangue, localizada no antigo Aeroclube de Pernambuco, Pina, Recife - PE. Os esgotos sanitários são conduzidos para um sistema composto por tanque séptico / valas de infiltração. Havendo também o sistema de caixa separadora de água, óleo e areia, sendo destinado para o emissário final.";21/09/2012;21/09/2013;4;;;TRUE;405;;FALSE;
142;214;1;;FALSE;"13111";"Certificado de Aprovação de projetos pelos BOMBEIROS";31/01/2013;;4;;;TRUE;;;FALSE;
143;214;1;;FALSE;"490";"Alvará de Construção da Estação Padre Cícero - PMF - SEUMA";16/05/2013;16/05/2015;4;;;TRUE;;;FALSE;
144;208;2;2;FALSE;"04.12.09.00377-58";"A autorização enquadra-se na tipologia capitura, coleta e transporte de fauna, Código 1.25 do Anexo II da Lei n° 14.249/2010 e suas alterações.";14/09/2012;14/09/2013;4;;;TRUE;405;;FALSE;
145;208;2;2;FALSE;"01.12.07.00279-14";"Licença de Instalação - LI, cuja atividade principal consistirá na instalação do canteiro de obras para serviços de execução das 2ª e 3ª etapas da Via Mangue, localizada na Av. República do Líbano, bairro do Pina, Recife/PE.";10/07/2012;10/07/2013;4;;;TRUE;405;;FALSE;
146;208;2;2;FALSE;"02.12.02.000565-5";"Implantação do canteiro de obras viárias para a execução da Via Mangue, localizado no complexo viário sobre a Av. Antônio Falcão, bairro de Boa Viagem, Recife/PE.";07/02/2012;06/02/2013;4;;;TRUE;405;;FALSE;
148;208;2;2;FALSE;"02.11.10.005533-7";"Implantação do canteiro de obras viárias para a execução das 2ª e 3 etapas da Via Mangue, a ser localizado no antigo Aeroclube de Pernambuco no bairro do Pina em Recife/PE. Os efluentes gerados no canteiro serão encaminhados para os seguintes dispositivos: fossa séptica seguida de vala de infiltração, havendo também o sistema de caixa separadora de água, óleo e areia, sendo destinado para o emissário final.";10/10/2011;09/10/2012;4;;;TRUE;405;;FALSE;
149;208;2;2;FALSE;"01.11.04.003078-7";"Execução dos serviços de 2ª e 3ª etapas da Via Manque, com extensão de 4,5 Km, iniciando-se na Ponte Paulo Guerra no bairro do Pina e finalizando-se na Av. Antonio Falcão no bairro";05/04/2011;06/04/2012;4;;;TRUE;405;;FALSE;
150;208;2;2;FALSE;"04.11.09.005447-5";"O projeto enquadra-se na tipologia de supressão de vegetação para licenciamento de obras, empreendimentos e atividades modificadoras do meio ambiente, Código 1.14, do Anexo II da Lei Estadual nº 14.249/2010.";30/09/2011;29/09/2012;4;;;TRUE;405;;FALSE;
151;208;2;1;FALSE;"19.11.02.001868-7";"O projeto enquadra-se na tipologia de empreendimentos viários, Código 1.7.1.1 do Decreto Estadual nº 28.787/2005";24/02/2011;24/02/2012;4;;;TRUE;405;;FALSE;
153;38;2;2;TRUE;"00988/2011";"Ofício CT. COLIPE/DIRE Nº00988/2011";18/07/2011;;4;;;TRUE;;;FALSE;
154;186;2;2;FALSE;"258/2012";"Licença de Instalação nº 258/20112";29/10/2012;29/10/2018;4;;;TRUE;;;FALSE;
159;214;1;;FALSE;"595";"Alvará de Construção da Estação Juscelino Kubitschek - PMF - SEUMA";02/07/2013;02/07/2015;4;;;TRUE;;;FALSE;
161;200;2;2;FALSE;"13/2013";"Renovação da licença de instalação referente VLT Parangaba-Mucuripe";05/07/2013;21/02/2015;4;;;TRUE;227;;FALSE;
164;162;2;1;TRUE;"0393-ERCBA";"Dispensa Licenciamento Ambiental Obra";13/05/2011;13/05/2017;4;;;TRUE;;;FALSE;
165;162;2;1;FALSE;"34542";"Autorização Ambiental para obra de arte";24/05/2012;24/05/2013;4;22/04/2013;"solicitada a renovação";TRUE;;;FALSE;
169;15;2;2;FALSE;"60544/2012";"TPS - Blocos A, B e C";23/02/2012;23/03/2015;4;;;TRUE;;;FALSE;
177;32;2;2;FALSE;"7199/2013";"Licença de Instalação nº 7199/2013";29/08/2013;29/08/2015;4;;;TRUE;12823;;FALSE;
178;30;2;2;FALSE;"7199/2013";"Licença de Instalação nº 7199/2013";29/08/2013;29/08/2015;4;;;TRUE;12823;;FALSE;
179;153;2;2;FALSE;"60283/2012";"Licença para obra de duplicação da Estrada da Guarita";09/01/2012;08/01/2015;4;;;TRUE;223;;FALSE;
180;153;2;1;FALSE;"301046/2011";"Obra de duplicação da Estrada da Guarita";05/10/2011;04/10/2014;4;;;TRUE;223;;FALSE;
181;153;2;1;FALSE;"301107/2011";"Licença Prévia para as obras de Adequação do Entorno da Arena (Lote I)";19/10/2011;18/10/2014;4;;;TRUE;223;;FALSE;
182;153;2;2;FALSE;"60214/2011";"Licença de Instalação - Adequação Entorno da Arena (Lote I)";15/12/2011;14/12/2014;4;;;TRUE;223;;FALSE;
183;153;2;2;TRUE;"Ofício 001/CIE/SUIMIS/SEMA-MT/2013";"Dispensa de Licença para as obras de Adequação do Entorno da Arena (Lote II)";25/01/2013;;4;;;TRUE;223;;FALSE;
184;153;2;1;FALSE;"301892/2012";"Licença Prévia para as obras de adequação da Av. 8 de Abril";08/05/2012;08/05/2015;4;;;TRUE;223;;FALSE;
185;153;2;2;FALSE;"60689/2012";"Licença para as obras de adequação da Av. 8 de Abril";08/05/2012;08/05/2015;4;;;TRUE;223;;FALSE;
186;3;2;2;FALSE;"61733/2013";"Licença para construção da Arena Multiuso Pantanal";19/02/2013;19/02/2016;4;;;TRUE;223;;FALSE;
187;152;2;1;FALSE;"302435/2012";"Licença Prévia para a execução da obra do VLT";27/09/2012;27/09/2015;4;;;TRUE;223;;FALSE;
188;152;2;2;FALSE;"61335/2012";"Licença de Instalação para a execução das obras do VLT";30/10/2012;30/10/2015;4;;;TRUE;223;;FALSE;
189;11;2;2;FALSE;"027/2013";"Licença de Instalação nº 027/2013";30/07/2013;30/07/2015;4;;;TRUE;23926;;FALSE;
190;396;2;3;FALSE;"2152";"Licença Ambiental de Operação";09/05/2013;09/05/2023;4;;;TRUE;24554;;FALSE;
191;396;2;2;TRUE;"13536/2002";"Dispensa de Fundaçoes";20/07/2012;;4;;;TRUE;24554;;FALSE;
192;221;2;3;FALSE;"0253";"Operação Aeroporto";11/12/2012;10/12/2016;4;;;TRUE;24561;;FALSE;
193;221;2;2;FALSE;"2126";"Ampliação Terminal de Passageiros e Edifício Garagem";30/08/2012;30/08/2018;4;;;TRUE;24554;;FALSE;
194;221;2;3;FALSE;"5006642";"Elevatória";13/04/2013;13/04/2018;4;;;TRUE;24554;;FALSE;
195;221;2;3;FALSE;"5006789";"Usina de Concreto";27/06/2013;27/06/2017;4;;;TRUE;24554;;FALSE;
196;221;2;1;FALSE;"8818";"Ampliação Aeroporto";31/01/2011;31/01/2016;4;;;TRUE;24554;;FALSE;
197;217;2;2;FALSE;"0146/2013";"Obras de Mobilidade Urbana para Copa 2014, denominadas "Lote 02", localizadas no Entorno do Estádio Arena das Dunas,consistindo na contrução de túneis e viadutos nos seguintes entroncamentos: Entroncamento Av. Prudente de Morais com Rua Raimundo Chaves; Entroncamento Av. Prudente de Morais com Av. Capitão Mor Gouveia; Entroncamento Av. Prudente de Morais com Av. Jerônimo Câmara; Entroncamento Av. Prudente de Morais com Av. Lima e Silva; Entroncamento Av. Romualdo Galvão com Av. Lima e Silva e Entroncamento Av. Senador Salgado Filho com Av. Senador Salgado Filho (marginal).";10/09/2013;10/09/2017;4;;;TRUE;24589;;FALSE;
198;217;2;2;FALSE;"151/2013";"Implantação de Plataformas de Embarque/Desembarque e Adequação dos Passeios Públicos e Sinalização.";10/09/2013;10/09/2017;4;;;TRUE;24589;;FALSE;
